Name,Type,Provider,Category,License,Deployment,Key Features,Best For,Cost Model,Cloud Support,OSS,Notes
AWS Secrets Manager,Cloud Service,Amazon,Cloud Secrets,Proprietary,AWS Only,"Automatic rotation, multi-region replication, IAM integration, Secrets Insights",AWS-centric organizations,Per secret + API calls,AWS Only,No,Native AWS integration
Azure Key Vault,Cloud Service,Microsoft,Cloud Secrets,Proprietary,Azure Only,"HSM support, access logging, Key Vault Guardian, integrated security",Azure ecosystem,Per API call,Azure Only,No,Enterprise-grade encryption
GCP Secret Manager,Cloud Service,Google,Cloud Secrets,Proprietary,GCP Only,"Secret versioning, Insights analytics, usage tracking",GCP users,Per secret/month,GCP Only,No,Real-time analytics
HashiCorp Vault,Self-Managed,HashiCorp,Platform,Business Source License,Self-hosted,"Dynamic secrets, policies, encryption, multi-cloud, plugin architecture",Enterprise/multi-cloud,Free OSS / Enterprise pricing,Multiple,Yes (BSL),Steep learning curve
CyberArk Conjur,Commercial,CyberArk,Platform,Proprietary,Self-hosted,"Container-native, CI/CD optimized, anomaly detection, compliance",Regulated enterprises,Custom pricing,Multiple,No,Strong for PAM
Infisical,Platform,Infisical,Platform,MIT,Self-hosted/Cloud,"End-to-end encryption, versioning, rotation, UI, CI/CD integrations",Development teams,Free/OSS or $99+/month,Multiple,Yes,Developer-friendly
Akeyless Vault Platform,Commercial,Akeyless,Platform,Proprietary,SaaS,"Distributed Fragments Cryptography, zero-trust, dynamic secrets, multi-cloud",Multi-cloud teams,Free tier / Enterprise,Multiple,No,Eliminates master key
Doppler,Cloud Service,Doppler,Platform,Proprietary,Cloud Only,"Real-time syncing, developer CLI, GitHub/Vercel integration, rotation",Startups/developers,Free tier / $99+/month,Multiple,No,Excellent UX
Keeper Secrets Manager,Commercial,Keeper,Platform,Proprietary,Cloud,"Zero-trust architecture, DevOps integrations, GitHub/Jenkins/K8s",DevOps teams,Custom pricing,Multiple,No,FedRAMP authorized
1Password Business,Commercial,1Password,Password Manager,Proprietary,Cloud,"Machine learning, team sharing, audit logs, integrations",Enterprises with 1Password adoption,Custom pricing,Cloud,No,Password + secrets
EnvKey,Development Tool,EnvKey,Env Management,Proprietary,Cloud/Self,"Environment-specific config, role-based access, audit logs",Multi-environment teams,Custom pricing,Cloud/Self,No,Focus on .env management
Mozilla SOPS,Open-source,Mozilla,Encryption Tool,Mozilla Public License,Self-hosted,"Git-encrypted secrets, KMS backends (AWS/GCP/Azure/PGP), CLI",DevOps/GitOps,Free,Multiple,Yes,Version control friendly
Kubernetes Sealed Secrets,Open-source,Bitnami,K8s Controller,Apache 2.0,Kubernetes,"Per-cluster encryption, GitOps-friendly, automatic decryption",Kubernetes clusters,Free,Kubernetes,Yes,Works with Flux/ArgoCD
Vaultwarden,Open-source,Community,Password Manager,AGPL v3,Self-hosted,"Bitwarden-compatible, end-to-end encryption, team sharing, Docker",Personal/small teams,Free,Self-hosted,Yes,Lightweight Bitwarden
Keywhiz,Open-source,Square,Secrets,Apache 2.0,Self-hosted,"System-level secrets, ACL access, audit logging, Java-based",Java applications,Free,Self-hosted,Yes,Enterprise-grade
CredStash,Open-source,Fugal,AWS Secrets,MIT,AWS,"AWS KMS encryption, DynamoDB storage, CLI, audit trails",AWS teams,Free (AWS KMS/DynamoDB costs),AWS,Yes,Simple AWS-native solution
GitGuardian,Commercial,GitGuardian,Secret Scanning,Proprietary,Cloud,"450+ detectors, real-time scanning, CI/CD integration, VS Code",Enterprise scanning,Custom pricing / Free tier,Cloud,No,Industry-leading detection
TruffleHog,Open-source,Truffle Security,Secret Scanning,AGPL v3,Self-hosted,"Entropy + regex analysis, deep Git history, GitHub integration, ML",Development teams,Free,Self-hosted,Yes,High accuracy with entropy
GitLeaks,Open-source,GitLeaks,Secret Scanning,MIT,Self-hosted,"Fast CLI, pre-commit hooks, custom rules, 450+ patterns, multi-OS",Developers/CI/CD,Free,Self-hosted,Yes,Easy to integrate
