Tool/Library,Language,Category,Description,Primary Use Case,Format Support,GitHub Stars (Est.)
Dynaconf,Python,Config Management,"Full-featured settings with multi-format support (TOML, YAML, JSON, INI), layered environments, Vault/Redis integration",Complex multi-environment apps,TOML/YAML/JSON/INI/PY,4200+
Pydantic Settings,Python,Validation,Type-safe configuration validation using BaseSettings with env var binding and .env loading,FastAPI/Django apps,JSON/ENV/.env,16000+ (Pydantic)
python-dotenv,Python,Env Management,Simple .env file loader populating environment variables without dependencies,Development config,INI/.env,6000+
python-decouple,Python,Env Management,Lightweight settings retrieval from environment or .env files with simple casting,Small Python projects,ENV/.env,2000+
environs,Python,Validation,Simplified parsing and validation of environment variables with type coercion using marshmallow,Type-safe env vars,ENV/.env,800+
Pydantic,Python,Validation,Data validation using Python type hints with comprehensive error reporting,Config validation,JSON/YAML,16000+
Marshmallow,Python,Validation,Object serialization/deserialization and validation for schema-based config parsing,Config parsing,JSON/YAML,6500+
Hydra,Facebook/Python,Config Management,Framework for managing complex application configurations with composition and override,ML/research projects,YAML,4000+
dotenv,JavaScript/Node.js,Env Management,Zero-dependency module loading .env files into process.env per Twelve-Factor App,Development env,INI/.env,10000+
env-var,JavaScript/Node.js,Validation,Safe environment variable parsing with type coercion and required checks,Strict env validation,ENV,900+
node-config,JavaScript/Node.js,Config Management,Hierarchical JSON/YAML config with environment-specific overrides (default/production/local),Multi-env Node apps,JSON/YAML,2000+
nconf,JavaScript/Node.js,Config Management,Hierarchical configuration supporting files/env vars/CLI args with override precedence,Complex config hierarchies,JSON/YAML,1100+
convict,JavaScript/Node.js,Validation,Config validation with JSON schema and environment variable support,Schema-based config,JSON/ENV,850+
cosmiconfig,JavaScript/Node.js,Config Discovery,Search and load configuration from multiple file types with full customization,Tool-specific configs,JS/YAML/JSON/TOML,1800+
Zod,TypeScript,Validation,TypeScript-first schema validation with type inference and configuration support,Type-safe configs,JSON/ENV,14000+
Viper,Go,Config Management,Complete config solution supporting YAML/JSON/TOML/HCL with env binding and file watching,Go CLI apps,YAML/JSON/TOML/HCL,24000+
Cobra,Go,Config Management,Powerful CLI library integrating seamlessly with Viper for flag-based configuration,Go command-line tools,ENV/Flags,30000+
Koanf,Go,Config Management,Lightweight config alternative with better customization and multi-format provider support,Customizable Go apps,YAML/JSON/TOML,2000+
godotenv,Go,Env Management,Go port of python-dotenv for loading .env files,Go development,INI/.env,1600+
config,Rust,Config Management,Hierarchical configuration supporting TOML/YAML/JSON/env with live file watching,Rust applications,TOML/YAML/JSON,1000+
figment,Rust,Config Management,Typed configuration library with layered providers and strong type-safety,Rust type-safety,TOML/YAML/JSON,1200+
envy,Rust,Env Management,Deserialize environment variables into Rust structs using serde,Type-safe env vars,ENV,500+
serde,Rust,Serialization,Framework for serializing/deserializing Rust data efficiently (foundation for config libs),Rust serialization,JSON/YAML/TOML,8000+
Typesafe Config,Java,Config Management,HOCON library supporting JSON superset with variable substitution and includes,Java/Kotlin apps,HOCON/JSON/YAML,1800+
Apache Commons Configuration,Java,Config Management,Provides access to configuration from multiple sources with multiple formats,Enterprise Java,Properties/YAML/JSON/XML,2000+
Spring ConfigurationProperties,Java,Config Management,Spring Framework integrated config management with @ConfigurationProperties and application.properties,Spring Boot apps,Properties/YAML/JSON,N/A (Built-in)
kotlinx.serialization-hocon,Kotlin,Config Management,Kotlin serialization support for HOCON format with type-safe deserialization,Kotlin HOCON parsing,HOCON,N/A (Part of Kotlin)
Konf,Kotlin,Config Management,Kotlin configuration library with type-safe DSL and multiple source support,Kotlin apps,YAML/JSON/Properties,200+
Settingslogic,Ruby,Config Management,YAML-based configuration gem with ERB support and environment-specific namespaces,Rails configuration,YAML,1400+
Figaro,Ruby,Config Management,Simple key-value configuration store with .env file support for Rails apps,Rails secrets,ENV/.env,2400+
RailsConfig,Ruby,Config Management,Rails gem providing config/settings.yml file support with environment-specific overrides,Rails applications,YAML,950+
Rails credentials,Ruby,Config Management,Encrypted credentials system using config/credentials.yml.enc,Rails secrets storage,YAML (encrypted),N/A (Built-in)
dotenv-rails,Ruby,Env Management,Rails integration for dotenv providing .env file loading in Rails applications,Rails development,INI/.env,7000+ (dotenv-rails)
Symfony Dotenv,PHP,Env Management,Loads .env files into $_ENV/$_SERVER without overwriting existing system variables,PHP development,INI/.env,1000+
vlucas/phpdotenv,PHP,Env Management,PHP implementation of dotenv with env variable expansion support,PHP config,INI/.env,9000+
Symfony Config,PHP,Config Management,Configuration caching and validation system for Symfony applications,Symfony apps,YAML/XML/PHP,N/A (Part of Symfony)
Nette Config,PHP,Config Management,Configuration loading and validation system with full NEON format support,Nette framework,NEON/YAML/PHP,N/A (Part of Nette)
Pimple,PHP,DI Container,Simple dependency injection container often used for configuration services,PHP DI/Config,Array/Custom,900+
Zend Config,PHP,Config Management,Configuration system supporting multiple formats and nested structures,Zend Framework,INI/XML/YAML/JSON,1200+
appsettings.json,.NET,Config Format,Primary configuration file format in ASP.NET Core with environment-specific overrides,ASP.NET Core apps,JSON,N/A (Built-in)
IConfiguration,.NET,Config Interface,Built-in .NET Core configuration abstraction supporting multiple sources and hierarchical access,ASP.NET Core,JSON/ENV/XML,N/A (Built-in)
User Secrets,.NET,Secrets,ASP.NET Core system for storing development secrets in local user profile,Development secrets,.NET-specific,N/A (Built-in)
Azure Key Vault,.NET,Secrets,Cloud-based secret storage with .NET SDK integration for configuration,Production secrets,Cloud-native,N/A (Cloud service)
Serilog,.NET,Logging,Structured logging library with comprehensive configuration support via appsettings.json,Logging config,JSON/YAML,6000+
HashiCorp Consul,Go,Discovery/Config,Service discovery and distributed configuration with health checking,Distributed systems,API/CLI,12000+
HashiCorp Vault,Go,Secrets,Secret management platform with dynamic secrets and credential rotation,Enterprise secrets,API/CLI/YAML,6000+
etcd,Go,Distributed Config,Distributed key-value store for configuration and service discovery,Kubernetes/distributed systems,API/gRPC,10000+
Apache ZooKeeper,Java,Distributed Config,Centralized service for maintaining configuration and coordination,Distributed systems,API,3500+
Kubernetes ConfigMaps,Kubernetes,Config Management,Native Kubernetes resource for managing non-secret configuration data,Container config,YAML/API,N/A (Platform)
Kubernetes Secrets,Kubernetes,Secrets,Native Kubernetes resource for managing sensitive configuration data,Container secrets,YAML/API,N/A (Platform)
Terraform,Go,IaC,Infrastructure-as-code tool supporting configuration management across multiple cloud providers,Infrastructure config,HCL,12000+
Ansible,Python,IaC,Configuration management tool with declarative YAML-based playbooks for systems automation,System automation,YAML,21000+
Kong Admin API,Lua,API Gateway,RESTful API for managing Kong Gateway configuration including routes and plugins,API gateway config,JSON/YAML/API,7000+ (Kong)
AWS Secrets Manager,AWS Cloud,Secrets,AWS cloud-native secret storage and rotation service with IAM integration,AWS secrets,API/CLI,N/A (Cloud service)
Azure Key Vault,Azure Cloud,Secrets,Microsoft cloud service for managing secrets and certificates,Azure secrets,API/CLI,N/A (Cloud service)
Google Cloud Secret Manager,GCP Cloud,Secrets,Google Cloud service for managing secrets with automatic rotation,GCP secrets,API/CLI,N/A (Cloud service)
1Password,Commercial,Secrets,Commercial secret management with team collaboration and password rotation,Team credentials,API/UI,N/A (SaaS)
Doppler,Commercial,Secrets,Multi-environment secrets management platform with configuration-as-code,Multi-env secrets,API/CLI,N/A (SaaS)
Configu,Commercial,Secrets,Cloud-based configuration-as-code platform supporting configurations and feature flags,Secrets/config/flags,API/CLI,N/A (SaaS)
