Category,Tool Name,Type,Platforms,Language/Focus,Licensing,Primary Use Case,Key Features,Production Safe,Learning Curve
Database Query,dbForge Studio,IDE,Windows,SQL,Commercial,Query profiling,Query optimization; SQL editing; debugging,Yes,Medium
Database Query,SQL Server Profiler,Native,Windows,T-SQL,Included,Query analysis,Event tracing; execution analysis,Yes,Medium
Database Query,DBeaver,IDE,Cross-platform,SQL,Free/Paid,Performance tuning,Multi-database support; execution plans,Yes,Easy
Database Query,Redgate SQL Monitor,Cloud,Windows/Cloud,SQL,Commercial,Real-time monitoring,Performance counters; slow query detection,Yes,Medium
Database Query,SolarWinds SQL Sentry,Platform,Windows,SQL,Commercial,Query tuning,Wait stats; execution plans; resource monitoring,Yes,Hard
Database Query,Idera Diagnostic Manager,Tool,Windows/Cloud,SQL,Commercial,Real-time diagnostics,Event-based analysis; blocking detection,Yes,Hard
Database Query,Toad,IDE,Windows/Linux,SQL,Commercial,Development & tuning,Query optimization; indexing recommendations,Yes,Medium
Database Query,pgAdmin,IDE,Cross-platform,PostgreSQL,Free,Query analysis,Query stats; execution plans,Yes,Easy
Database Query,MySQL Workbench,IDE,Cross-platform,MySQL,Free,Query analysis,Visual explain; execution analysis,Yes,Easy
Frontend,Lighthouse,OSS,Browser-based,JavaScript,Free,Auditing,Performance; accessibility; SEO audits,Yes,Easy
Frontend,WebPageTest,Service,Browser-based,JavaScript,Free/Paid,Real-user testing,Filmstrip; waterfall; geographic testing,Yes,Easy
Frontend,Chrome DevTools,Built-in,Chrome,JavaScript,Free,Real-time analysis,Performance metrics; memory profiling,Yes,Easy
Frontend,Firefox DevTools,Built-in,Firefox,JavaScript,Free,Real-time analysis,Performance tab; memory profiler,Yes,Easy
Frontend,Web Vitals Library,Library,Browser-based,JavaScript,Free,Metrics collection,CLS; FID; LCP metrics,Yes,Easy
Frontend,Speedcurve,SaaS,Cloud,JavaScript,Commercial,Synthetic monitoring,Trend analysis; regression detection,Yes,Hard
Backend,py-spy,OSS,Linux/macOS/Windows/FreeBSD,Python,Free,Sampling profiling,Low-overhead; flamegraph output; production-safe,Yes,Easy
Backend,pprof,OSS,Go/Multi-language,Go,Free,Multi-type profiling,CPU; memory; goroutine analysis,Yes,Medium
Backend,cProfile,Built-in,Python,Python,Free,Function-level timing,Cumulative stats; deterministic,Yes,Easy
Backend,Scalene,OSS,Cross-platform,Python,Free,CPU/GPU/Memory,Web UI; minimal overhead,Yes,Easy
Backend,Java Flight Recorder,Built-in,JVM,Java,Free,Production profiling,Low-overhead; event recording,Yes,Medium
Backend,JProfiler,Commercial,JVM,Java,Commercial,Comprehensive profiling,CPU/memory; call trees; database monitoring,Yes,Hard
Backend,YourKit,Commercial,JVM/C++,Java/C++,Commercial,Enterprise profiling,Allocation tracking; continuous profiling,Yes,Hard
GPU,NVIDIA Nsight Systems,Closed,NVIDIA,CUDA,Free,System-level tracing,CPU-GPU interaction; kernel timelines,No,Hard
GPU,NVIDIA Nsight Compute,Closed,NVIDIA,CUDA,Free,Kernel-level analysis,Per-kernel optimization; memory analysis,No,Hard
GPU,AMD uProf,Closed,AMD,ROCm,Free,Performance counters,Counter analysis; command-line,No,Hard
GPU,ROCm Omniperf,OSS,AMD,ROCm,Free,Kernel profiling,Dashboard; wavefront analysis,No,Hard
GPU,Radeon GPU Profiler,Closed,AMD,Graphics/GPGPU,Free,Low-level tracing,Vulkan/DX12 analysis,No,Hard
GPU,Intel VTune,Closed,Intel,oneAPI,Free,Multi-platform profiling,EU occupancy; memory bandwidth,No,Hard
GPU,Omnitrace,OSS,AMD,ROCm,Free,CPU-GPU tracing,Dynamic instrumentation; causal profiling,Yes,Hard
GPU,HPCToolkit,OSS,Multi-vendor,Multi,Free,Low-overhead profiling,Multi-vendor support; 1-5% overhead,Yes,Hard
Network,Wireshark,OSS,Cross-platform,Network,Free,Packet analysis,Protocol dissection; 1000+ protocols,Yes,Medium
Network,tcpdump,OSS,Linux/macOS/BSD,Network,Free,Packet capture,Command-line; scriptable,Yes,Easy
Network,tshark,OSS,Cross-platform,Network,Free,CLI packet analysis,Automation-friendly; capture,Yes,Medium
Network,netsniff-ng,OSS,Linux,Network,Free,High-speed capture,Efficient processing; statistics,Yes,Hard
Network,NetworkMiner,OSS,Windows,Network,Free,Passive analysis,File extraction; forensics,Yes,Easy
Network,ManageEngine NetFlow Analyzer,Commercial,Windows/Linux,Network,Commercial,Flow-based analysis,Bandwidth monitoring; DPI,Yes,Medium
Network,Paessler PRTG,Commercial,Windows,Network,Commercial,Network monitoring,NetFlow sensors; alerts,Yes,Medium
Network,SolarWinds NPM,Commercial,Windows,Network,Commercial,Enterprise monitoring,Scalable flows; multi-layered views,Yes,Hard
Network,Omnipeek,Commercial,Windows/macOS,Network,Commercial,Protocol analysis,1000+ protocols; root-cause,Yes,Hard
Network,Colasoft Capsa,Commercial,Windows,Network,Commercial,Real-time diagnostics,1500+ protocols; VoIP analysis,Yes,Medium
Network,Fiddler,Commercial,Windows/Cross,Network,Commercial,HTTP debugging,Web traffic proxy,Yes,Easy
Distributed,Jaeger,OSS,Cloud-native,Multi-language,Free,Distributed tracing,Service mapping; high-throughput,Yes,Medium
Distributed,Zipkin,OSS,Cloud-native,Multi-language,Free,Distributed tracing,Latency analysis; visualization,Yes,Medium
Distributed,OpenTelemetry,OSS,Cloud-native,Multi-language,Free,Observability framework,Vendor-neutral; standardized,Yes,Hard
Distributed,DataDog APM,SaaS,Cloud,Multi-language,Commercial,Unified APM,AI tracing; RUM; synthetics,Yes,Medium
Distributed,New Relic,SaaS,Cloud,Multi-language,Commercial,Full-stack observability,Real-time tracking; visibility,Yes,Medium
