Name,Category,Type,Deployment Model,Primary Purpose,Key Features,Language/Ecosystem,Notes
Spring Cloud Config,Application Configuration Servers,Centralized Server,Self-hosted/Cloud,Spring Boot application configuration,Git backend support,encryption,dynamic refresh,Java/Spring
Consul,Centralized Configuration,Distributed Coordination,Self-hosted/Cloud,Service discovery and distributed configuration,Health checking,DNS,gossip clustering,K/V store,Go,HashiCorp
etcd,Centralized Configuration,Distributed Coordination,Self-hosted,Configuration and coordination,Raft consensus,linearizable reads,leases,watches,Go,CNCF
Nacos,Centralized Configuration,Distributed Coordination,Self-hosted/Cloud,Dynamic service discovery and configuration,Real-time push,dynamic config,Java/Spring ecosystem,Alibaba
Apollo,Centralized Configuration,Distributed Coordination,Self-hosted/Cloud,Cloud-based dynamic configuration,Versioning,grayscale publishing,multi-environment,Java
ZooKeeper,Centralized Configuration,Distributed Coordination,Self-hosted,Distributed coordination and configuration,Znodes,leader election,synchronization,Java,Apache
AWS AppConfig,Cloud Configuration Services,Managed Service,SaaS,Safe application configuration deployment,Validation,monitoring,gradual rollouts,AWS
AWS Systems Manager Parameter Store,Cloud Configuration Services,Managed Service,SaaS,Secure parameter storage and management,Hierarchical storage,KMS encryption,versioning,AWS
Azure App Configuration,Cloud Configuration Services,Managed Service,SaaS,Azure application settings and feature flags,Managed identity,feature flags,configuration snapshots,Microsoft
Azure Key Vault,Secrets Management,Managed Service,SaaS,Secrets and certificate management,Encryption,access policies,rotation,Microsoft
Google Cloud Secret Manager,Secrets Management,Managed Service,SaaS,Secure secrets storage and access,IAM integration,audit logging,automatic rotation,Google Cloud
HashiCorp Vault,Secrets Management,Self-hosted/Cloud,Self-hosted/SaaS,Enterprise secrets and dynamic configuration,Encryption,dynamic credentials,multi-auth,audit logging,Go
Redis,Distributed Key-Value Stores,In-Memory Cache,Self-hosted/Cloud,High-throughput configuration caching,Clustering,in-memory,TTL support,C
Memcached,Distributed Key-Value Stores,In-Memory Cache,Self-hosted,Distributed memory caching,Simple key-value,fast lookups,distributed protocol,C
DynamoDB,Distributed Key-Value Stores,NoSQL Database,SaaS,Distributed configuration storage at scale,On-demand scaling,eventual consistency,global tables,AWS
Cassandra,Distributed Key-Value Stores,NoSQL Database,Self-hosted/Cloud,Highly scalable distributed configuration,High availability,partition tolerance,multi-datacenter,Java
