Library,Language,Category,Timezone Support,Non-Gregorian Calendars,Parsing,Formatting,Humanized Time,Business Days,URL,Status,Key Strengths
pytz,Python,Timezone,Full IANA,No,Yes,Yes,No,No,https://pypi.org/project/pytz/,Mature,Comprehensive timezone support
zoneinfo,Python,Timezone,Full IANA,No,Yes,Yes,No,No,https://docs.python.org/3/library/zoneinfo.html,Modern,Standard library (Python 3.9+)
dateutil,Python,Date/Parsing,Full,Limited,Strong,Yes,Yes,No,https://dateutil.readthedocs.io/,Mature,rrule recurrence rules; fuzzy parsing
arrow,Python,Date/Parsing,Full,No,Yes,Strong,Yes,No,https://arrow.readthedocs.io/,Mature,Chainable API; timezone-aware by default
pendulum,Python,Date/Parsing,Full,No,Yes,Strong,Yes,No,https://pendulum.eustace.io/,Mature,Poetic API; excellent localization
humanize,Python,Humanized Time,No,No,No,No,Strong,Yes,https://github.com/python-humanize/humanize,Mature,Multiple value types (time; file size; numbers)
NumPy,Python,Business Days,No,No,No,No,No,Strong,https://numpy.org,Mature,busday_count() and busday_offset() functions
bizdays,Python,Business Days,No,No,No,No,No,Strong,https://github.com/wilsonfreitas/python-bizdays,Mature,Custom non-working days definitions
python-networkdays,Python,Business Days,No,No,No,No,No,Strong,https://pypi.org/project/python-networkdays/,Mature,No dependencies
business_calendar,Python,Business Days,No,No,No,No,No,Strong,https://pypi.org/project/business_calendar/,Mature,Simple; custom work weeks
pybizday_utils,Python,Business Days,No,No,No,No,No,Strong,https://github.com/hmasdev/pybizday_utils,Specialized,nth business day calculations
date-fns,JavaScript,Date/Parsing,Optional,No,Yes,Strong,Yes,No,https://date-fns.org,Modern,Functional API; tree-shaking; 50+ locales
Day.js,JavaScript,Date/Parsing,Plugin,No,Yes,Yes,Plugin,No,https://day.js.org,Modern,6KB gzipped; plugin system
Luxon,JavaScript,Date/Parsing,Full,No,Yes,Strong,Strong,No,https://moment.github.io/luxon/,Modern,Clean API; recommended Moment.js alternative
moment.js,JavaScript,Date/Parsing,Plugin,No,Yes,Strong,Yes,No,https://momentjs.com/,Legacy,Historically dominant; maintenance mode
moment-timezone,JavaScript,Timezone,Full IANA,No,Yes,Yes,No,No,https://momentjs.com/timezone/,Mature,Built on Moment.js
timeago.js,JavaScript,Humanized Time,No,No,No,No,Strong,No,https://timeago.org/,Mature,1KB; multiple languages
relative-time.js,JavaScript,Humanized Time,No,No,No,No,Strong,No,https://github.com/yyx990803/relative-time,Lightweight,< 1KB
Lately.js,JavaScript,Humanized Time,No,No,No,No,Strong,No,Custom,Lightweight,1KB; ISO 8601 formatting
timezone-js,JavaScript,Timezone,Full IANA,No,Yes,Yes,No,No,https://github.com/mde/timezone-js,Mature,Browser compatible
Intl.RelativeTimeFormat,JavaScript,Humanized Time,No,No,No,No,Strong,No,Native API,Native,No library dependency
chrono,Rust,Date/Parsing,Partial,No,Yes,Yes,No,No,https://docs.rs/chrono,Mature,Companion crates for timezone data
jiff,Rust,Date/Parsing,Full IANA,No,Strong,Strong,No,No,https://github.com/BurntSushi/jiff,Modern,DST-aware arithmetic; recommended for new projects
time crate,Rust,Date/Parsing,Limited,No,Yes,Yes,No,No,https://docs.rs/time,Mature,Lightweight; performance-focused
java.time,Java,Date/Parsing,Full IANA,Full,Strong,Strong,No,No,https://docs.oracle.com/javase/8/docs/api/java/time/package-summary.html,Modern,Standard library (Java 8+); multiple calendars
HowardHinnant/date,C++,Calendar Systems,Full IANA,Strong,Yes,Yes,No,No,https://howardhinnant.github.io/date/tz.html,Comprehensive,Islamic and Julian calendars; leap seconds
ICU Library,Multi-language,Calendar Systems,Full IANA,Strong,Strong,Strong,No,No,https://icu.unicode.org/,Standard,Industry standard; 100+ calendars; multiple languages
Noda Time,C#/.NET,Date/Parsing,Full IANA,Yes,Strong,Strong,No,No,https://nodatime.org/,Modern,Recommended for .NET; lean API
go time,Go,Date/Parsing,Full IANA,No,Yes,Yes,No,No,https://pkg.go.dev/time,Built-in,Standard library; sufficient for most cases
TZInfo,Ruby,Timezone,Full IANA,No,Yes,Yes,No,No,https://tzinfo.github.io/,Mature,Timezone library for Ruby
tzdata,Elixir,Timezone,Full IANA,No,Yes,Yes,No,No,Official,Standard,Timezone database for Elixir
timezone package,Dart/Flutter,Timezone,Full IANA,No,Yes,Yes,No,No,https://pub.dev/packages/timezone,Mature,Flutter/Dart timezone support
ezic,Erlang,Timezone,Full IANA,No,Yes,Yes,No,No,Custom,Mature,Erlang IANA database module
zoneinfo,Ada 2022,Timezone,Full IANA,No,Yes,Yes,No,No,Custom,Modern,Type-safe API; ISO 8601
convertdate,Python,Calendar Systems,No,Strong,Yes,Yes,No,No,Custom,Available,Multiple calendar conversions
python-hijri-converter,Python,Calendar Systems,No,Islamic,Yes,Yes,No,No,Custom,Available,Hijri-Gregorian conversions
lunar-calendar,JavaScript,Calendar Systems,No,Chinese,Yes,Yes,No,No,Custom,Available,Lunar-Gregorian conversions
hijri-converter,JavaScript,Calendar Systems,No,Islamic,Yes,Yes,No,No,Custom,Available,Islamic calendar conversions
