Library/Tool,Language,Category,Type,Status,Bundle Size,Key Use Case,Best For,Documentation URL,License
moment.js,JavaScript,Core Date/Time,Library,Deprecated,67KB,Legacy date manipulation,Legacy systems,https://momentjs.com/,MIT
luxon,JavaScript,Core Date/Time,Library,Active,15KB (gzipped),Enterprise timezone handling,Production applications,https://moment.github.io/luxon/,MIT
date-fns,JavaScript,Core Date/Time,Library,Active,Variable (tree-shakeable),Functional date operations,Modern bundler projects,https://date-fns.org/,MIT
dayjs,JavaScript,Core Date/Time,Library,Active,<2KB (gzipped),Lightweight alternative,Size-constrained projects,https://day.js.org/,MIT
js-joda,JavaScript,Core Date/Time,Library,Maintained,Variable,Java-familiar developers,Teams from Java,https://js-joda.github.io/js-joda/,BSD-3-Clause
Temporal API,JavaScript,Core Date/Time,Standard (Stage 3),Emerging,Built-in,Future-forward development,Greenfield projects,https://tc39.es/proposal-temporal/,ECMA
datetime,Python,Core Date/Time,Standard Library,Stable,Built-in,Foundation for all operations,All Python projects,https://docs.python.org/3/library/datetime.html,PSF
pytz,Python,Core Date/Time,Library,Stable,Built-in,Timezone handling,Legacy Python projects,https://pypi.org/project/pytz/,MIT
zoneinfo,Python,Core Date/Time,Standard Library,Stable,Built-in,Modern timezone support,Python 3.9+,https://docs.python.org/3/library/zoneinfo.html,PSF
dateutil,Python,Core Date/Time,Library,Active,Variable,Parsing and recurrence,Complex date operations,https://dateutil.readthedocs.io/,Dual: BSD/Apache 2.0
arrow,Python,Core Date/Time,Library,Active,Variable,Friendly API,Readable operations,https://arrow.readthedocs.io/,Apache 2.0
pendulum,Python,Core Date/Time,Library,Active,Variable,DST-aware scheduling,Poetry projects,https://pendulum.eustace.io/,MIT
freezegun,Python,Testing,Library,Active,Variable,Mock datetime,Unit testing,https://github.com/spulec/freezegun,MIT
java.time,Java,Core Date/Time,Standard Library,Stable,Built-in,Enterprise applications,All new Java projects,https://docs.oracle.com/javase/tutorial/datetime/,Oracle GPL
Joda-Time,Java,Core Date/Time,Library,Superseded,Variable,Legacy maintenance,Legacy code only,https://www.joda.org/joda-time/,Apache 2.0
time,Go,Core Date/Time,Standard Library,Stable,Built-in,All temporal operations,All Go projects,https://golang.org/pkg/time/,BSD
DateTime,C#,Core Date/Time,Built-in,Stable,Built-in,Basic date/time,Most .NET applications,https://learn.microsoft.com/en-us/dotnet/api/system.datetime,Microsoft
DateTimeOffset,C#,Core Date/Time,Built-in,Stable,Built-in,Timezone-aware operations,Distributed systems,https://learn.microsoft.com/en-us/dotnet/api/system.datetimeoffset,Microsoft
NodaTime,C#,Core Date/Time,Library,Active,Variable,Enterprise scheduling,Complex scenarios,https://nodatime.org/,Apache 2.0
croniter,Python,Cron Parser,Library,Active,Variable,Cron expression parsing,All Python projects,https://github.com/kiorky/croniter,PSF
cron-parser,JavaScript,Cron Parser,Library,Active,Variable,Parse cron expressions,Node.js applications,https://github.com/harrisiirak/cron-parser,MIT
node-cron,JavaScript,Cron Parser,Library,Active,Variable,Schedule tasks,Node.js scheduling,https://github.com/node-cron/node-cron,MIT
croner,JavaScript,Cron Parser,Library,Active,Variable,Modern cron with UX,Contemporary JavaScript,https://github.com/hexagon/croner,MIT
croncpp,C++,Cron Parser,Library,Active,Header-only,C++ applications,Embedded systems,https://github.com/stoj/cron,MIT
Cronsmith,Java,Cron Parser,Library,Active,Variable,Complex cron patterns,Enterprise Java,N/A,Apache 2.0
cron-converter,Python,Cron Parser,Library,Active,Variable,String/list parsing,Python projects,https://github.com/evtn/cron-converter,MIT
python-networkdays,Python,Business Days,Library,Active,Variable,Business day calculations,Payroll systems,https://github.com/rgupta0/python-networkdays,MIT
pybizday_utils,Python,Business Days,Library,Active,Variable,Comprehensive utilities,Financial calculations,https://github.com/investmentapi/pybizday_utils,BSD
bizdays,Python,Business Days,Library,Active,Variable,Flexible calculator,Multi-calendar systems,https://github.com/wilsonfreitas/bizdays,Apache 2.0
business,Python,Business Days,Library,Active,Variable,Calendar-based approach,OOP business logic,https://github.com/jmohr/python-business,MIT
business_calendar,Python,Business Days,Library,Active,Variable,Simple calculations,Basic needs,https://github.com/groupby/python-business-calendar,MIT
busday_count,Python,Business Days,Standard Library,Stable,Built-in,NumPy bulk calculations,Large datasets,https://numpy.org/doc/stable/reference/arrays.datetimes.html,BSD
bdate_range,Python,Business Days,Library,Stable,Built-in (pandas),Business date ranges,Data science,https://pandas.pydata.org/,BSD 3-Clause
moment-business-days,JavaScript,Business Days,Plugin,Active,Variable,Business day manipulation,Moment.js projects,https://github.com/jsmreese/moment-business-days,MIT
business-days,JavaScript,Business Days,Library,Active,Variable,Standalone calculator,Modern projects,https://github.com/jsmreese/business-days,MIT
dateutil.rrule,Python,Date Range/Period,Library,Stable,Built-in (dateutil),Recurrence rules,Complex patterns,https://dateutil.readthedocs.io/en/stable/rrule.html,Dual: BSD/Apache 2.0
Zod,JavaScript,Validation,Library,Active,Variable,Runtime schema validation,API validation,https://zod.dev/,MIT
Joi,JavaScript,Validation,Library,Active,Variable,Enterprise schemas,Hapi.js applications,https://joi.dev/,BSD-3-Clause
yup,JavaScript,Validation,Library,Active,Variable,Form validation,React applications,https://github.com/jquense/yup,MIT
io-ts,TypeScript,Validation,Library,Active,Variable,Type-driven validation,Functional TypeScript,https://github.com/gcanti/io-ts,MIT
runtypes,TypeScript,Validation,Library,Active,Variable,Type checking,Type-safe development,https://github.com/pelotom/runtypes,MIT
pydantic,Python,Validation,Library,Active,Variable,Data validation,FastAPI projects,https://docs.pydantic.dev/,MIT
marshmallow,Python,Validation,Library,Stable,Variable,Serialization,Legacy applications,https://marshmallow.readthedocs.io/,MIT
Hibernate Validator,Java,Validation,Framework,Active,Variable,JSR 380 validation,JPA entities,https://hibernate.org/validator/,Apache 2.0
Apache Commons Validator,Java,Validation,Library,Maintained,Variable,Batch processing,Non-annotation use,https://commons.apache.org/proper/commons-validator/,Apache 2.0
Intl.DateTimeFormat,JavaScript,Localization,Native API,Stable,Built-in,Date formatting by locale,Modern browsers/Node.js,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Intl/DateTimeFormat,ECMA
