Name,Category,Language,Backend,Type,Production Ready,Popularity,Notes
Celery,Language Library,Python,RabbitMQ/Redis/Other,Task Queue,Yes,Very High,Most widely used distributed task queue; broker-based
RQ (Redis Queue),Language Library,Python,Redis,Task Queue,Yes,High,Simple Redis-backed queue; lightweight
Dramatiq,Language Library,Python,Redis/RabbitMQ,Task Queue,Yes,Medium,Reliable message-driven workers; lighter than Celery
Huey,Language Library,Python,Redis,Task Queue,Yes,Medium,Lightweight; async tasks and scheduled jobs
ARQ,Language Library,Python,Redis,Task Queue,Yes,Medium,High-performance Redis queue; worker pools
TaskIQ,Language Library,Python,Redis Streams,Task Queue,Yes,Medium,Fast performance; Redis Streams-based
Django Q,Language Library,Python,Redis/RabbitMQ/Database,Task Queue,Yes,Medium,Django-integrated; cron-like scheduling
TaskTiger,Language Library,Python,Redis,Task Queue,Yes,Low,Redis-based task management
WakaQ,Language Library,Python,Redis,Task Queue,Yes,Low,Minimalistic Celery alternative
aiotasks,Language Library,Python,Redis,Task Queue,Yes,Low,Async function queue
Taskmaster,Language Library,Python,Redis,Task Queue,Yes,Low,Lightweight distributed queue
django-carrot,Language Library,Python,Redis,Task Queue,Yes,Low,Django-specific queue
BullMQ,Language Library,JavaScript/Node.js,Redis,Task Queue,Yes,Very High,Production-grade; advanced features; priorities
Agenda,Language Library,JavaScript/Node.js,MongoDB,Job Scheduler,Yes,High,MongoDB-backed; persistence; concurrency
Kue,Language Library,JavaScript/Node.js,Redis,Task Queue,Yes,Medium,Priority queue; includes UI
Bull,Language Library,JavaScript/Node.js,Redis,Task Queue,Yes,Medium,Redis-based queue; predecessor to BullMQ
Sidekiq,Language Library,Ruby,Redis,Task Queue,Yes,Very High,Industry standard; processes millions of jobs; fast
Resque,Language Library,Ruby,Redis,Task Queue,Yes,High,Battle-tested in high-traffic apps; easy forking
Delayed Job,Language Library,Ruby,Database (ActiveRecord),Task Queue,Yes,High,Database-backed; no external dependencies
Good Job,Language Library,Ruby,PostgreSQL,Task Queue,Yes,Medium,PostgreSQL-backed Active Job adapter
Que,Language Library,Ruby,PostgreSQL,Task Queue,Yes,Medium,High-performance PostgreSQL queue
queue_classic,Language Library,Ruby,PostgreSQL,Task Queue,Yes,Medium,Lightweight; async polling; no external deps
Spring Batch,Language Library,Java,Database/Custom,Batch Processing,Yes,Very High,Enterprise-standard framework; Spring Boot integration
Quartz,Language Library,Java,Database,Job Scheduler,Yes,Very High,Open-source; cron-like triggers; clustering
Apache Camel,Language Library,Java,JMS/AMQP/SEDA,Integration,Yes,High,Routing engine; ESB patterns; multi-protocol
Activiti,Language Library,Java,Database,Workflow Engine,Yes,Medium,BPMN 2.0; business process orchestration
Flowable,Language Library,Java,Database,Workflow Engine,Yes,Medium,Advanced BPMN/CMMN/DMN; enhanced Activiti fork
Asynq,Language Library,Go,Redis,Task Queue,Yes,High,Simple and fast; priorities; optimized for Go
Machinery,Language Library,Go,Redis/RabbitMQ,Task Queue,Yes,Medium,Broker-agnostic; inspired by Celery
River,Language Library,Go,PostgreSQL,Task Queue,Yes,Medium,PostgreSQL-backed; transaction-safe; multiple queues
jobqueue,Language Library,Go,MySQL/In-Memory,Task Queue,Yes,Low,Configurable concurrency; topic-based
Go Queue,Language Library,Go,Database,Task Queue,Yes,Low,Flexible background job processing
brokkr,Language Library,Rust,Redis,Task Queue,Yes,Low,Distributed task queue; Redis-backed
job_queue,Language Library,Rust,MySQL/PostgreSQL,Task Queue,Yes,Low,Simple async job processing
Aide-De-Camp,Language Library,Rust,Custom,Task Queue,Yes,Low,Type-erasure solutions; semaphore-based
