Item,Status,Source Lists,Category
Angular,HAS_DOCS,"List 1: ERP Platforms",Framework
Docusaurus,HAS_DOCS,"List 1: ERP Platforms",Documentation Tool
GitBook,HAS_DOCS,"List 1: ERP Platforms",Documentation Tool
React.js,HAS_DOCS,"List 1: ERP Platforms",Framework
Stripe,HAS_DOCS,"List 4: Programming Libraries",Payment Processing
Vue.js,HAS_DOCS,"List 1: ERP Platforms",Framework
Zapier,HAS_DOCS,"List 2: Integration Tools, List 3: Modules/Extensions",Integration Platform
.NET Core,MISSING,"List 1: ERP Platforms",Framework
@shopify/graphql-client,MISSING,"List 4: Programming Libraries",SDK
ABAP,MISSING,"List 3: Modules/Extensions",Language
ADempiere,MISSING,"List 1: ERP Platforms",ERP Platform
Access ERP,MISSING,"List 1: ERP Platforms",ERP Platform
Acumatica,MISSING,"List 2: Integration Tools, List 3: Modules/Extensions",ERP Platform
Akeneo,MISSING,"List 3: Modules/Extensions",PIM Platform
Apache OFBiz,MISSING,"List 1: ERP Platforms, List 3: Modules/Extensions, List 4: Programming Libraries",ERP Framework
Axelor,MISSING,"List 1: ERP Platforms",ERP Platform
Axonius,MISSING,"List 2: Integration Tools",Security Platform
Boomi,MISSING,"List 3: Modules/Extensions",Integration Platform
Celigo,MISSING,"List 2: Integration Tools",Integration Platform
Coupa,MISSING,"List 2: Integration Tools",Spend Platform
Crystallize,MISSING,"List 3: Modules/Extensions",Headless Commerce
DOSS,MISSING,"List 2: Integration Tools",Integration Tool
Davanti WICS,MISSING,"List 3: Modules/Extensions",WMS Platform
Django,MISSING,"List 1: ERP Platforms",Framework
Dolibarr,MISSING,"List 1: ERP Platforms",ERP Platform
ERPNext,MISSING,"List 1: ERP Platforms, List 3: Modules/Extensions, List 4: Programming Libraries",ERP Platform
Epicor,MISSING,"List 2: Integration Tools",ERP Platform
ForceJS,MISSING,"List 4: Programming Libraries",SDK
Frappe,MISSING,"List 3: Modules/Extensions, List 4: Programming Libraries",Framework
Frappe Framework,MISSING,"List 1: ERP Platforms",Framework
IBM App Connect,MISSING,"List 2: Integration Tools",Integration Platform
Infor CloudSuite,MISSING,"List 2: Integration Tools",ERP Platform
Informatica,MISSING,"List 2: Integration Tools",ETL Platform
Inriver,MISSING,"List 3: Modules/Extensions",PIM Platform
JD Edwards EnterpriseOne,MISSING,"List 2: Integration Tools",ERP Platform
Jitterbit,MISSING,"List 2: Integration Tools",Integration Platform
Kong,MISSING,"List 3: Modules/Extensions",API Gateway
Logic ERP,MISSING,"List 1: ERP Platforms",ERP Platform
Magento,MISSING,"List 3: Modules/Extensions, List 4: Programming Libraries",E-commerce Platform
Mendix,MISSING,"List 2: Integration Tools",Low-code Platform
Metasfresh,MISSING,"List 1: ERP Platforms",ERP Platform
Microsoft Azure Data Factory,MISSING,"List 2: Integration Tools",ETL Platform
Microsoft Dynamics 365,MISSING,"List 1: ERP Platforms, List 2: Integration Tools",ERP Platform
Microsoft Power Apps,MISSING,"List 2: Integration Tools",Low-code Platform
Moqui Framework,MISSING,"List 1: ERP Platforms, List 3: Modules/Extensions",ERP Framework
MuleSoft,MISSING,"List 3: Modules/Extensions",Integration Platform
MuleSoft Anypoint Platform,MISSING,"List 2: Integration Tools",Integration Platform
MyMagento,MISSING,"List 4: Programming Libraries",SDK
NetSuite,MISSING,"List 3: Modules/Extensions, List 4: Programming Libraries",ERP Platform
NetSuite SuiteTalk,MISSING,"List 4: Programming Libraries",API
Node.js/Express.js,MISSING,"List 1: ERP Platforms",Framework
Odoo,MISSING,"List 1: ERP Platforms, List 2: Integration Tools, List 3: Modules/Extensions, List 4: Programming Libraries",ERP Platform
OneIO,MISSING,"List 2: Integration Tools",Integration Tool
Ongoing Warehouse,MISSING,"List 3: Modules/Extensions",WMS Platform
OpenCart,MISSING,"List 3: Modules/Extensions",E-commerce Platform
OpusFlow,MISSING,"List 2: Integration Tools",Integration Tool
Oracle Cloud EPM,MISSING,"List 1: ERP Platforms",EPM Platform
Oracle Cloud Planning REST APIs,MISSING,"List 1: ERP Platforms",API
Oracle E-Business Suite,MISSING,"List 2: Integration Tools",ERP Platform
Oracle ERP Cloud,MISSING,"List 2: Integration Tools",ERP Platform
Oracle NetSuite,MISSING,"List 1: ERP Platforms, List 2: Integration Tools",ERP Platform
PeopleSoft,MISSING,"List 2: Integration Tools",ERP Platform
Pimcore,MISSING,"List 3: Modules/Extensions",Product Data Platform
Plex MES,MISSING,"List 1: ERP Platforms",MES Platform
Plex Manufacturing Cloud,MISSING,"List 1: ERP Platforms",MES Platform
Productive,MISSING,"List 2: Integration Tools",Project Management
Pulpo WMS,MISSING,"List 3: Modules/Extensions",WMS Platform
QuickBooks,MISSING,"List 2: Integration Tools",Accounting Software
Redocly,MISSING,"List 1: ERP Platforms",API Documentation
Rockwell Automation ERP,MISSING,"List 1: ERP Platforms",ERP Platform
SAP,MISSING,"List 3: Modules/Extensions",ERP Platform
SAP Business Technology Platform,MISSING,"List 2: Integration Tools",Integration Platform
SAP Cloud SDK,MISSING,"List 4: Programming Libraries",SDK
SAP Cloud SDK (.NET),MISSING,"List 4: Programming Libraries",SDK
SAP Cloud SDK (Java),MISSING,"List 4: Programming Libraries",SDK
SAP ECC,MISSING,"List 2: Integration Tools",ERP Platform
SAP Go SDK,MISSING,"List 4: Programming Libraries",SDK
SAP Integration Suite,MISSING,"List 2: Integration Tools",Integration Platform
SAP S/4HANA,MISSING,"List 1: ERP Platforms, List 2: Integration Tools",ERP Platform
SYSPRO,MISSING,"List 3: Modules/Extensions",ERP Platform
Salesforce,MISSING,"List 4: Programming Libraries",CRM Platform
Salesforce API,MISSING,"List 4: Programming Libraries",API
Shopify,MISSING,"List 3: Modules/Extensions, List 4: Programming Libraries",E-commerce Platform
Skyvia,MISSING,"List 2: Integration Tools",Integration Tool
SnapLogic,MISSING,"List 2: Integration Tools",Integration Platform
Spring Boot,MISSING,"List 1: ERP Platforms",Framework
SuiteScript,MISSING,"List 3: Modules/Extensions",Language
Syndigo,MISSING,"List 3: Modules/Extensions",PIM Platform
Talend,MISSING,"List 2: Integration Tools",ETL Platform
Tryton,MISSING,"List 1: ERP Platforms, List 3: Modules/Extensions",ERP Platform
Tyler Technologies ERP,MISSING,"List 1: ERP Platforms",ERP Platform
WooCommerce,MISSING,"List 3: Modules/Extensions, List 4: Programming Libraries",E-commerce Platform
WooCommerce PHP Client,MISSING,"List 4: Programming Libraries",SDK
Workato,MISSING,"List 2: Integration Tools",Integration Platform
Zoho,MISSING,"List 4: Programming Libraries",CRM/ERP Platform
Zoho Inventory,MISSING,"List 3: Modules/Extensions",Inventory Management
Zoho JavaScript SDK,MISSING,"List 4: Programming Libraries",SDK
Zoho Python SDK,MISSING,"List 4: Programming Libraries",SDK
frappe-client,MISSING,"List 4: Programming Libraries",SDK
iDempiere,MISSING,"List 1: ERP Platforms",ERP Platform
magento-python,MISSING,"List 4: Programming Libraries",SDK
odoo-client,MISSING,"List 4: Programming Libraries",SDK
odoo-client-lib,MISSING,"List 4: Programming Libraries",SDK
shopify-api-node,MISSING,"List 4: Programming Libraries",SDK
shopify-api-ruby,MISSING,"List 4: Programming Libraries",SDK
stripe-java,MISSING,"List 4: Programming Libraries",SDK
stripe-node,MISSING,"List 4: Programming Libraries",SDK
